person_id,tweet,intent
799174427485212672, You know those little Disney Myths like...Johnny Depp will dress up as Jack Sparrow and sit in the Pirates of the Caribb…,0
725810389271744512, I just want a remastered pirates of the Caribbean online game,0
850279992076378112, I just want a remastered pirates of the Caribbean online game,0
1732921446," Favorite trio? 
(RT after you vote please) 
1. Harry Potter 
2. Pirates of the Caribbean
3. Twilight 
4. The Hunger Games",0
768960487,❤❤#Gossip Pirates Of The Caribbean Jack Sparrow T-Shirt Why Is The Rum Gone? #JohnnyDepp #JustForToday #Buy…… https://t.co/x2gKLnvewz,0
850150158021079040, orlando bloom was his hottest in pirates of the caribbean facts only,0
321414714,@KhabirM Kan?! I was a child when I had such hugeeeeee crush on him hahah. Because of pirates of the Caribbean! I d… https://t.co/RDPRghyr4X,0
2396431578, Life is complete! Just saw Johnny Depp on Pirates of the Caribbean @Disneyland !! #PiratesoftheCaribbean https://t.co/…,0
30723326,Last night they were playing Pirates of the Caribbean in the lounge and I couldn't take my eyes off it lol,0
558068945,I liked a @YouTube video https://t.co/pWFJJM2ZFr Johnny Depp surprises Disneyland guests as Jack Sparrow in Pirates of the Caribbean,0
849185676331560961, RETWEET this. Tell your friends that pirates of the Caribbean comes out next year. #PiratesOfTheCaribbeanDeadMenTellNo…,0
3374126201,Watch as Johnny Depp surprises Disneyland guests as Jack Sparrow in Pirates of the Caribbean ride #MAGA # https://t.co/j293aYC4ye,0
2253857814, Behind the scenes of Pirates of the Caribbean https://t.co/tdLCxxdra7,0
2814618871, Pirates of the Caribbean: At World's End - Gore Verbinski | Action &amp; Adventure |266229473… https://t.co/wuKKLHRa80 #Actiona…,0
2562914758,Happy Bc a new Pirates Of The Caribbean is coming out... BUT WHERES KIERA KNIGHTLY AND ORLANDO BLOOM?!,0
700828555102519300, jack sparrow || pirates of the caribbean http://t.co/lH6UBB7AUc,0
3849134081, jack sparrow || pirates of the caribbean http://t.co/lH6UBB7AUc,0
822522524038594560, Just saw Johnny Depp @Disneyland on Pirates of the Caribbean dressed as Captain Jack Sparrow!!! #DeadMenTellNoTales ht…,0
972226854, Johnny Depp made a surprise appearance on Disneyland's Pirates of the Caribbean ride https://t.co/7somasOBGS,0
2800770636,Pirates of the Caribbean: At World's End - Gore Verbinski | Action &amp; Adventure |266229473… https://t.co/wuKKLHRa80 #ActionampAdventure,0
2152880429, Just saw Johnny Depp @Disneyland on Pirates of the Caribbean dressed as Captain Jack Sparrow!!! #DeadMenTellNoTales ht…,0
561468234, HOLY SHIT THEY CAME OUT W ANOTHER PIRATES OF THE CARIBBEAN ! I can't wait to see it my love for johnny Depp ��,0
380480299,#Professional &gt; 6: The Republic of Pirates: Being the True and Surprising Story of the Caribbean Pirates and the… https://t.co/MB6hB1z3q7,0
4335677985,Pirates of the Caribbean. https://t.co/PYlLRBLv9r,0
789235355866259456, HOLY SHIT THEY CAME OUT W ANOTHER PIRATES OF THE CARIBBEAN ! I can't wait to see it my love for johnny Depp ��,0
20766707,Pirates of the Caribbean theme song gets me hype,0
1977223134,favorite movie: Pirates Of The Caribbean favorite number: 1 -Kaifact,0
790855779725275136, HOLY SHIT THEY CAME OUT W ANOTHER PIRATES OF THE CARIBBEAN ! I can't wait to see it my love for johnny Depp ��,0
2220050008, These lucky Disneyland guests got quite the surprise! https://t.co/9WcZQldRnD,0
822034957, Love the massive underwater housing! Knightly of the set of Pirates of the Caribbean: The Black Pearl. #movies #moviesinthemaki…,0
361624497,When you're trying to write an essay but the Pirates of the Caribbean theme song comes on and you just have to stop and hum along ���,0
