person_id,tweet,intent
51355115,"@KTRTRS Sir, why TG govt. is promoting #Bahubali2 as if it is some sort of welfare scheme?",0
4752155352," #Bahubali2 Rumors : 
Why Kattapa killed bahubali ??

Kattapa is twin and the twin kattapa faked the real kattappa betra…",0
776431904,"Will watch #Bahubali2 after a week, ticket price in premium theaters are sky high for 1st 5days, looting #unfair @ssrajamouli",0
4103874433, #Bahubali2 @ NIZAM Area 5 Show's Permission Granted,0
794228356535513089, Hey all give a shout out to @AAfilmsIndia and watch out for their next - #Bahubali2 .. coming soon!!!,0
186855941," #Bahubali2 ALL SET 4 AM show in URVASHI theatre, Bangalore.. ����

@AnilKumaKasina @urstruly_murali @nikesshh @Nikesh_Rox",0
3023662458," #Bahubali2 Dubai promotional tour event on 25th at 7:30 pm at Roxy Cinemas, City
https://t.co/Ncw8zYujCc
@ssrajamouli…",0
789445542728310784," #Bahubali2 Dubai promotional tour event on 25th at 7:30 pm at Roxy Cinemas, City
https://t.co/Ncw8zYujCc
@ssrajamouli…",0
814083956723372032,#Baahubali2 Is The Biggest Release Ever In #Kerala | #Bahubali2 Movie | #Prabhas | #Rajamouli https://t.co/CfO31wjkZi,0
814083956723372032,"Watch -- https://t.co/awsMdsJwcO

#kerala #Mollywood #baahubali2 #Bahubali2 #Prabhas #ranadaggubati #Saaho… https://t.co/fLXTditWWz",0
3250856094, #Bahubali2 @ NIZAM Area 5 Show's Permission Granted,0
2559917512," #Bahubali2 Dubai promotional tour event on 25th at 7:30 pm at Roxy Cinemas, City
https://t.co/Ncw8zYujCc
@ssrajamouli…",0
720792848711352320, Ur eagerly looking for?#2point0 #Thalapathy61 #Vivegam  #Vijay61 #superstar #Rajinikanth #thala #Ajith  #Vijay62 #Bahu…,0
789513399260635136, Hey all give a shout out to @AAfilmsIndia and watch out for their next - #Bahubali2 .. coming soon!!!,0
783606507896176640, #Bahubali2 worst than #Si3 in TN,0
3823101852," #Bahubali2 Dubai promotional tour event on 25th at 7:30 pm at Roxy Cinemas, City
https://t.co/Ncw8zYujCc
@ssrajamouli…",0
